,Date,SC_M1
1127,2016-07-23,218.09375
1131,2016-07-24,218.3125
168,2016-07-25,244.375
169,2016-07-26,245.375
170,2016-07-27,231.5
171,2016-07-28,233.375
172,2016-07-29,233.1271875
1153,2016-07-30,209.125
1226,2016-07-31,228.5
173,2016-08-01,212.078125
174,2016-08-02,210.5625
175,2016-08-03,239.453125
176,2016-08-04,233.58984375
177,2016-08-05,234.46875
1236,2016-08-06,225.25
1176,2016-08-07,214.515625
178,2016-08-08,214.68359375
179,2016-08-09,238.984375
180,2016-08-10,230.234375
181,2016-08-11,228.21484375
182,2016-08-12,234.375
1246,2016-08-13,225.8125
1196,2016-08-14,219.296875
183,2016-08-15,222.66796875
184,2016-08-16,224.28125
185,2016-08-17,220.15625
186,2016-08-18,237.1796875
187,2016-08-19,234.171875
1256,2016-08-20,224.8125
1216,2016-08-21,222.71875
188,2016-08-22,223.38671875
189,2016-08-23,215.2578125
190,2016-08-24,215.1015625
191,2016-08-25,236.5390625
192,2016-08-26,236.9140625
1147,2016-08-27,227.53125
1265,2016-08-28,229.75
1222,2016-08-29,230.796875
193,2016-08-30,205.96875
194,2016-08-31,232.7725
195,2016-09-01,225.8359375
196,2016-09-02,223.3125
1168,2016-09-03,237.890625
1171,2016-09-04,231.80859375
197,2016-09-05,236.28125
198,2016-09-06,231.0625
199,2016-09-07,220.1484375
200,2016-09-08,226.521484375
201,2016-09-09,236.0234375
1188,2016-09-10,231.421875
1191,2016-09-11,230.26171875
202,2016-09-12,229.40625
203,2016-09-13,229.0625
204,2016-09-14,226.3984375
205,2016-09-15,224.583984375
206,2016-09-16,224.3359375
1208,2016-09-17,221.671875
1211,2016-09-18,226.05859375
207,2016-09-19,226.03125
208,2016-09-20,233.40625
209,2016-09-21,230.40625
210,2016-09-22,223.55078125
211,2016-09-23,218.46875
1132,2016-09-24,218.03125
1137,2016-09-25,228.796875
212,2016-09-26,229.359375
213,2016-09-27,235.21875
214,2016-09-28,236.0625
215,2016-09-29,235.25
216,2016-09-30,218.615234375
1157,2016-10-01,221.515625
1163,2016-10-02,220.6875
217,2016-10-03,236.6015625
218,2016-10-04,235.341796875
219,2016-10-05,225.8828125
220,2016-10-06,225.03125
221,2016-10-07,219.96484375
1179,2016-10-08,222.916015625
1184,2016-10-09,226.9140625
222,2016-10-10,235.0390625
223,2016-10-11,233.865234375
224,2016-10-12,224.71875
225,2016-10-13,225.15625
226,2016-10-14,220.96484375
1199,2016-10-15,221.232421875
1204,2016-10-16,219.5078125
227,2016-10-17,223.5234375
228,2016-10-18,225.107421875
229,2016-10-19,219.53125
230,2016-10-20,222.90625
231,2016-10-21,222.7578125
1219,2016-10-22,218.71875
1128,2016-10-23,217.7890625
232,2016-10-24,218.5078125
233,2016-10-25,225.8515625
234,2016-10-26,221.5859375
235,2016-10-27,222.578125
236,2016-10-28,222.96875
1223,2016-10-29,221.6484375
1154,2016-10-30,209.21875
237,2016-10-31,222.27375
238,2016-11-01,222.5234375
239,2016-11-02,221.78125
240,2016-11-03,219.76171875
241,2016-11-04,219.0888671875
1231,2016-11-05,215.2578125
1237,2016-11-06,217.140625
242,2016-11-07,219.908203125
243,2016-11-08,222.5869140625
244,2016-11-09,225.87890625
245,2016-11-10,227.87890625
246,2016-11-11,228.0322265625
1241,2016-11-12,227.5859375
1247,2016-11-13,228.171875
247,2016-11-14,227.166015625
248,2016-11-15,220.8408203125
249,2016-11-16,219.54296875
250,2016-11-17,228.51171875
251,2016-11-18,230.6552734375
1251,2016-11-19,227.6015625
1257,2016-11-20,228.625
252,2016-11-21,228.99609375
253,2016-11-22,218.8203125
254,2016-11-23,218.94921875
255,2016-11-24,229.56640625
256,2016-11-25,233.05078125
1142,2016-11-26,230.76171875
1148,2016-11-27,235.7109375
257,2016-11-28,236.90625
258,2016-11-29,220.46484375
259,2016-11-30,231.2445166015625
260,2016-12-01,236.19921875
261,2016-12-02,239.765625
1169,2016-12-03,243.83984375
1172,2016-12-04,243.7197265625
262,2016-12-05,215.171875
263,2016-12-06,216.4375
264,2016-12-07,251.9189453125
265,2016-12-08,255.7529296875
266,2016-12-09,260.255859375
1189,2016-12-10,262.62890625
1192,2016-12-11,264.7548828125
267,2016-12-12,226.3671875
268,2016-12-13,227.34375
269,2016-12-14,264.7099609375
270,2016-12-15,261.12060546875
271,2016-12-16,259.947265625
1209,2016-12-17,258.06640625
1212,2016-12-18,255.6904296875
272,2016-12-19,227.74609375
273,2016-12-20,228.6484375
274,2016-12-21,254.0859375
275,2016-12-22,252.1123046875
276,2016-12-23,253.2734375
1133,2016-12-24,256.28125
1138,2016-12-25,258.89453125
1143,2016-12-26,230.08203125
1149,2016-12-27,233.9609375
277,2016-12-28,267.8046875
278,2016-12-29,256.154296875
279,2016-12-30,251.748046875
1227,2016-12-31,234.9375
1158,2017-01-01,257.57421875
1164,2017-01-02,257.515625
280,2017-01-03,242.041015625
281,2017-01-04,241.58251953125
282,2017-01-05,252.0634765625
283,2017-01-06,255.681640625
1177,2017-01-07,270.1181640625
1180,2017-01-08,271.95361328125
284,2017-01-09,271.7236328125
285,2017-01-10,263.205078125
286,2017-01-11,266.11181640625
287,2017-01-12,258.740234375
288,2017-01-13,258.890625
1197,2017-01-14,275.2060546875
1200,2017-01-15,273.14208984375
289,2017-01-16,279.568359375
290,2017-01-17,258.994140625
291,2017-01-18,257.04150390625
292,2017-01-19,263.158203125
293,2017-01-20,264.37890625
1217,2017-01-21,276.845703125
1220,2017-01-22,276.27734375
294,2017-01-23,276.19921875
295,2017-01-24,257.07421875
296,2017-01-25,263.57421875
297,2017-01-26,230.560546875
298,2017-01-27,232.9140625
1266,2017-01-28,284.09375
1224,2017-01-29,276.794921875
299,2017-01-30,274.546875
300,2017-01-31,237.53125
301,2017-02-01,257.388671875
302,2017-02-02,257.015625
303,2017-02-03,269.4423828125
1173,2017-02-04,271.26611328125
1232,2017-02-05,277.208984375
304,2017-02-06,276.35546875
305,2017-02-07,268.05224609375
306,2017-02-08,271.670654296875
307,2017-02-09,283.77978515625
308,2017-02-10,278.7998046875
1193,2017-02-11,280.15869140625
1242,2017-02-12,274.212890625
309,2017-02-13,276.060546875
310,2017-02-14,274.46923828125
311,2017-02-15,273.804931640625
312,2017-02-16,285.28369140625
313,2017-02-17,274.9365234375
1213,2017-02-18,269.47021484375
1252,2017-02-19,273.865234375
314,2017-02-20,270.890625
315,2017-02-21,274.6396484375
316,2017-02-22,273.81591796875
317,2017-02-23,274.0595703125
318,2017-02-24,254.7109375
1258,2017-02-25,257.19140625
1260,2017-02-26,234.19140625
319,2017-02-27,235.9296875
320,2017-02-28,246.21988287093117
321,2017-03-01,254.5146484375
322,2017-03-02,258.12109375
323,2017-03-03,257.8798828125
1228,2017-03-04,264.275390625
1233,2017-03-05,268.708984375
324,2017-03-06,261.5439453125
325,2017-03-07,263.31982421875
326,2017-03-08,264.663330078125
327,2017-03-09,271.6220703125
328,2017-03-10,274.55859375
1238,2017-03-11,275.91796875
1243,2017-03-12,271.712890625
329,2017-03-13,275.3203125
330,2017-03-14,278.060546875
331,2017-03-15,281.191162109375
332,2017-03-16,286.78173828125
333,2017-03-17,285.751953125
1248,2017-03-18,268.232421875
1253,2017-03-19,268.865234375
334,2017-03-20,281.236328125
335,2017-03-21,278.681640625
336,2017-03-22,283.1904296875
337,2017-03-23,285.3779296875
338,2017-03-24,274.48046875
1259,2017-03-25,255.31640625
1261,2017-03-26,234.56640625
339,2017-03-27,265.203125
340,2017-03-28,284.734375
341,2017-03-29,269.48828125
342,2017-03-30,252.4140625
343,2017-03-31,241.5653125
1267,2017-04-01,271.08203125
1268,2017-04-02,272.703125
344,2017-04-03,272.4619140625
345,2017-04-04,259.08203125
346,2017-04-05,266.40234375
347,2017-04-06,278.6826171875
348,2017-04-07,283.33984375
1269,2017-04-08,285.318359375
1270,2017-04-09,287.3212890625
349,2017-04-10,286.0693359375
350,2017-04-11,272.205078125
351,2017-04-12,266.9912109375
352,2017-04-13,283.685546875
1279,2017-04-14,284.978515625
1271,2017-04-15,290.158203125
1272,2017-04-16,292.412109375
1273,2017-04-17,293.072265625
353,2017-04-18,265.01171875
354,2017-04-19,268.39453125
355,2017-04-20,288.376953125
356,2017-04-21,278.88671875
1274,2017-04-22,281.0673828125
1275,2017-04-23,284.197265625
357,2017-04-24,276.505859375
358,2017-04-25,254.265625
359,2017-04-26,234.26171875
360,2017-04-27,260.884765625
361,2017-04-28,273.44552734375
1276,2017-04-29,272.50390625
1283,2017-04-30,272.9735107421875
1277,2017-05-01,270.98046875
362,2017-05-02,270.67578125
363,2017-05-03,277.505859375
364,2017-05-04,271.677734375
365,2017-05-05,278.26953125
1285,2017-05-06,280.1357421875
1278,2017-05-07,281.1259765625
366,2017-05-08,282.3125
367,2017-05-09,283.212890625
368,2017-05-10,279.14453125
369,2017-05-11,272.01171875
370,2017-05-12,266.521484375
1287,2017-05-13,276.48828125
1280,2017-05-14,285.103515625
371,2017-05-15,287.33984375
372,2017-05-16,288.859375
373,2017-05-17,288.248046875
374,2017-05-18,264.59375
375,2017-05-19,267.03515625
1289,2017-05-20,277.212890625
1281,2017-05-21,270.78125
376,2017-05-22,276.9677734375
377,2017-05-23,280.521484375
378,2017-05-24,269.7880859375
379,2017-05-25,259.4609375
380,2017-05-26,251.45703125
1291,2017-05-27,266.49609375
1292,2017-05-28,275.21484375
1282,2017-05-29,270.375
381,2017-05-30,267.984375
382,2017-05-31,259.38609375
383,2017-06-01,269.916015625
384,2017-06-02,275.21484375
1293,2017-06-03,276.232421875
1284,2017-06-04,272.9140625
385,2017-06-05,274.8828125
386,2017-06-06,276.86767578125
387,2017-06-07,281.5791015625
388,2017-06-08,275.87890625
389,2017-06-09,281.78564453125
1295,2017-06-10,275.990234375
1286,2017-06-11,270.58984375
390,2017-06-12,269.732421875
391,2017-06-13,274.0478515625
392,2017-06-14,277.828125
393,2017-06-15,280.0556640625
394,2017-06-16,281.7060546875
1297,2017-06-17,282.12109375
1288,2017-06-18,272.46875
395,2017-06-19,276.0205078125
396,2017-06-20,274.84619140625
397,2017-06-21,271.1708984375
398,2017-06-22,279.6474609375
399,2017-06-23,281.515625
1299,2017-06-24,275.83984375
1290,2017-06-25,271.5703125
400,2017-06-26,267.2890625
401,2017-06-27,265.009765625
402,2017-06-28,274.478515625
403,2017-06-29,268.015625
404,2017-06-30,276.85148193359373
1300,2017-07-01,273.3046875
1301,2017-07-02,275.1171875
405,2017-07-03,276.0830078125
406,2017-07-04,271.13671875
407,2017-07-05,272.9833984375
408,2017-07-06,273.7041015625
409,2017-07-07,274.8955078125
1303,2017-07-08,275.041015625
1294,2017-07-09,277.95703125
410,2017-07-10,275.07421875
411,2017-07-11,271.4296875
412,2017-07-12,276.3388671875
413,2017-07-13,276.52587890625
414,2017-07-14,278.921875
1305,2017-07-15,280.9296875
1296,2017-07-16,282.91015625
415,2017-07-17,280.3125
416,2017-07-18,272.625
417,2017-07-19,281.166015625
418,2017-07-20,280.9853515625
419,2017-07-21,276.1474609375
1307,2017-07-22,281.994140625
1298,2017-07-23,284.44921875
420,2017-07-24,274.7314453125
421,2017-07-25,272.1171875
422,2017-07-26,277.21484375
423,2017-07-27,276.8525390625
424,2017-07-28,281.36328125
1310,2017-07-29,281.609375
1311,2017-07-30,284.33203125
425,2017-07-31,268.29390624999996
426,2017-08-01,271.439453125
427,2017-08-02,273.783203125
428,2017-08-03,288.1005859375
429,2017-08-04,283.71484375
1312,2017-08-05,287.236328125
1302,2017-08-06,285.1064453125
430,2017-08-07,286.45361328125
431,2017-08-08,272.9287109375
432,2017-08-09,277.525390625
433,2017-08-10,288.0947265625
434,2017-08-11,286.5
1313,2017-08-12,287.6875
1304,2017-08-13,289.91552734375
435,2017-08-14,290.0380859375
436,2017-08-15,281.4775390625
437,2017-08-16,282.833984375
438,2017-08-17,292.455078125
